"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation","pf_rol_procedural","pf_rol_civil","pf_rol_criminal","pf_ss_homicide","pf_ss_disappearances","pf_ss_women","pf_movement_domestic","pf_movement_foreign","pf_movement_women","pf_religion_estop","pf_religion_harassment","pf_religion_restrictions","pf_association_association","pf_association_assembly","pf_association_political","pf_association_prof","pf_association_sport","pf_expression_killed","pf_expression_jailed","pf_expression_influence","pf_expression_control","pf_expression_cable","pf_expression_newspapers","pf_expression_internet","pf_identity_legal","pf_identity_parental","pf_identity_sex","pf_identity_divorce","ef_government_consumption","ef_government_transfers","ef_government_enterprises","ef_government_tax","ef_legal_judicial","ef_legal_courts","ef_legal_protection","ef_legal_military","ef_legal_integrity","ef_legal_enforcement","ef_legal_restrictions","ef_legal_police","ef_legal_crime","ef_legal_gender","ef_money_growth","ef_money_sd","ef_money_inflation","ef_money_currency","ef_trade_tariffs","ef_trade_regulatory","ef_trade_black","ef_trade_movement","ef_regulation_credit","ef_regulation_labor","ef_regulation_business"
"Senegal",-0.260617673936723,-0.163139600200286,-0.362023083435443,0.933929018145765,1.14199962920249,0.34666502929738,-1.44900383423657,0.283367962062541,-0.627611559194599,-0.74691775796234,-0.299308677724589,-0.838624204607339,-0.594062507641838,0.246013239800503,-0.317742602557031,-0.18245486004725,0.191211119388795,-0.298193867275718,0.639293453564572,-0.771839104971466,-0.817777727231369,0.914468999268452,0.922518909006948,0.48979204507815,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,-0.348339602830503,0.544457767719842,0.701371666692583,-0.309880144091458,0.826985568632108,-0.938107072169609,-1.26302534878878,-1.74750102158096,-0.672272811687727,0.427387834332812,1.06268855769591,-0.0922647391708,-0.674325699367097,-0.197475810823088,0.596303358745946,-0.0506674937443632,-0.817254946477573,-0.422699197153878,-0.994404950289107,-0.654175511936955,0.546861361518873,-0.126804555477386,-1.24836742071971,0.670999767036946,0.569159234224729,0.500551811816212,-1.70135178889492,-0.0795185736293939,-0.155107126286526,0.223291972552788,-0.676174223380393,0.639624513497967,-2.04899691450906,-0.631962587933798
"Serbia",-0.433933433328224,0.911792821687127,0.847208659469119,0.489111256088146,0.376432524841379,0.52334849018862,0.735991375240531,-0.0613953901876049,-0.175216103764882,-0.0681054144268875,0.494586778959241,0.134178313700679,-0.250298953563782,-0.23764426579776,-0.791311124916105,0.688333282946729,0.450510343104553,0.599979420388029,0.639293453564572,0.699195424503564,0.722687293832372,0.914468999268452,0.398549933956024,-0.296143245967351,0.045005561975996,0.162390907114035,0.287646993549562,0.300325740721658,0.949901389688047,0.274440947210204,0.276654106104222,0.02870504522883,-0.10092387889441,0.701371666692583,0.748011467587287,0.826985568632108,0.29410924424999,0.710705582115871,0.672115777531138,0.695347893544428,0.364171069698163,-1.87515168119809,0.583373554623531,0.435844659347027,-0.899360447829667,-0.977138916701965,-0.975614233831249,0.120868150694806,-0.0237151001996023,-0.725386900344976,0.719776727806999,-0.380174469244464,-0.0129165953660171,0.91632630736298,-0.0797915123704909,0.396307608909427,0.466456020015395,-0.454207038664254,0.68552630881903,0.775793967806324,0.223291972552788,-0.204691537217924,-0.0589827485273576,0.377907317201464,-0.0115707872270544
"Seychelles",0.169953030493359,-0.434313713171649,-0.0597151477999953,0.411322928540818,0.136245160885821,-0.01406370278871,0.978768620737987,-0.127955989268594,0.297595487627397,0.543487142156437,0.628448695859584,0.36200068297172,0.0904014011125337,0.0728284013869299,0.338027540123521,-0.962977693843504,0.70980956682031,-0.305613069745633,0.639293453564572,-0.771839104971466,-0.0475452166994983,0.249426214688184,1.17161891328589,-0.0636835118628443,-0.000750926468333787,0.119292956673913,0.248127800717511,0.258366778679538,-0.0601267486918552,0.274440947210204,0.276654106104222,-0.0969765039985994,0.4368941599508,-0.469820058776719,-0.239354036505156,-0.202096363477773,1.11558678852972,0.710705582115871,0.672115777531138,0.695347893544428,-2.40598754770235,-0.115807941991148,0.583373554623531,1.54601501806115,0.0593353387072776,0.162902871804549,0.104929369892708,0.696250316835448,-0.101679248413803,-0.160543873468838,-0.2383284367183,0.12823606766878,-0.0293023490168132,0.741272177148332,-0.785822598844553,-0.045550956650557,0.479095079628298,0.79293771156641,0.580117554436747,-0.0638768716337684,-0.439226446462928,1.53908722947306,-0.143900760162598,0.716475310597095,0.297205668891484
"Sierra Leone",-0.724894062872238,-0.00182706341166957,0.242592787835453,0.597357548924425,0.0107437615007532,-0.27172708320357,0.43926363063574,0.436167753742634,-0.796729142502133,-0.929687588779538,-0.814409718626544,-2.23103072264638,-0.719033513973075,-0.744845660768882,-0.638454726034137,0.641871487174754,0.445835878208862,-1.39009080539599,0.639293453564572,0.699195424503564,-0.817777727231369,0.361788667095011,0.300627862983218,0.810807867914639,-0.11843581524485,0.00844578119163185,0.146485127271623,0.150449061455393,-0.18616143089131,0.274440947210204,0.276654106104222,-0.348339602830503,0.00663972887463215,-0.678961438522,-0.415669305259332,-0.385860994384945,0.659210374949707,0.710705582115871,-0.53769262202491,0.695347893544428,1.27828548328887,1.19351024729725,-0.767903032965131,-0.452291627624273,-0.82199865206253,-0.602602956029672,-0.758903624135904,-0.817254946477573,-0.0237151001996023,-0.0827574924779459,-1.24197737020602,-0.775337092015133,-0.64342742971049,-0.133998460270685,-0.710538869049633,-0.762624245057785,-0.69194642957662,-0.454207038664254,0.36351630066613,-0.911526692702014,0.223291972552788,-1.4128902446141,-2.9925532999708,-0.89106727467301,-0.935436992661256
"Singapore",1.57923972709176,0.934298364702059,0.242592787835453,-0.786179075930574,-1.34609345997113,-0.962275822978315,0.331362632744772,1.17258165589945,1.9659539401114,1.08735564248799,1.92641870921736,1.90788887338265,0.893433292687352,1.87117374603393,1.95155799149432,0.844649728406992,0.70980956682031,0.159698396671223,0.639293453564572,-0.771839104971466,0.722687293832372,-0.872213108665802,0.158039584917073,-0.871757824966809,-0.852351758033466,-1.52804743812315,-1.26242112463011,-1.34543786608598,-0.972149025153572,0.274440947210204,-1.71931270723675,-1.10242889894917,-0.208487486663452,-0.553476610775219,-0.309880144091458,-1.37819000048981,0.29410924424999,0.710705582115871,-0.53769262202491,0.695347893544428,-0.332477674219956,0.636337092547979,0.583373554623531,1.54601501806115,1.38767489347266,2.11268900887507,2.05595820965642,0.746283548559559,1.17323719114201,2.18994019270709,0.886059357231433,1.81982266846441,1.63489538032476,0.741272177148332,1.01503729602492,0.465957300796197,0.539976183679184,0.79293771156641,2.05598470959687,1.42024694791532,0.223291972552788,1.71300187796341,1.17086195061925,0.943342896729785,2.36002123841584
"Slovak Rep.",0.71624477629721,0.90507120003545,0.847208659469119,0.168097452849576,1.14199962920249,0.994504385486334,0.735991375240531,-0.729821058598623,0.243740596762101,0.877666364017655,1.07113876058419,0.543384904827345,0.556204947070213,0.656240058674807,0.888201682564494,0.738823872882765,-0.0684903298013886,1.0402604435765,0.639293453564572,0.699195424503564,0.722687293832372,0.0211279453013252,0.140860274437091,0.304377733595071,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,0.908475890574926,1.18983941433409,0.701371666692583,0.748011467587287,0.826985568632108,0.29410924424999,0.710705582115871,0.672115777531138,0.695347893544428,-0.664997855235291,-1.33052529574862,0.583373554623531,-0.452291627624273,-0.931739066004978,-1.45402610220608,-0.188428846185402,1.37169894679956,0.375268997233455,-0.764100462100446,1.31908525664046,-0.672095432894924,0.426388503070516,0.91632630736298,-0.307926084014279,0.618536976710148,0.537899342897721,0.79293771156641,0.645763061190762,1.01323699631419,0.223291972552788,0.959935534478251,0.902226064628921,0.440285623338554,-0.249191875645469
"Slovenia",0.823448629091301,1.19228866463712,0.847208659469119,0.920781695263348,1.14199962920249,1.07548430500995,0.735991375240531,-1.39378160649659,0.654613936104947,0.913165217010681,0.733822019171395,-0.166221716702078,1.29802862166576,0.383445740141729,0.593162283194097,0.821198654834237,0.450510343104553,1.0402604435765,0.639293453564572,0.699195424503564,0.722687293832372,0.914468999268452,0.621880972514992,0.650299956496394,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,1.15983898940683,1.29740302210314,0.701371666692583,0.748011467587287,0.826985568632108,0.29410924424999,0.710705582115871,0.672115777531138,0.695347893544428,-0.634653808434194,-1.24436475525913,0.583373554623531,-2.00653012982405,-0.184081301445199,-0.702074658585738,0.0579500413464883,1.05899124786718,0.77425309418773,-0.053333163787997,0.55546530240315,0.75922303711451,1.24283212814561,0.566218053760795,-0.352044242329621,0.700903303322648,0.592894086790861,0.79293771156641,0.645763061190762,1.08474460065077,0.223291972552788,0.077177084757596,-0.200953761902714,-0.214646196561133,0.0724198645935594
"South Africa",0.38050955087806,-1.42300122083785,0.847208659469119,1.13661691485095,1.14199962920249,0.751564626915477,0.735991375240531,-0.359070924013686,-0.018699825729766,-0.114902760318689,-0.204026489284415,0.147558277284218,0.353877145834257,0.519863091437767,0.241420682768427,-2.74830139543821,0.174176162841469,0.599979420388029,0.639293453564572,0.699195424503564,0.722687293832372,0.914468999268452,-0.0738811088818859,1.64378858158157,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,0.908475890574926,0.00663972887463215,0.701371666692583,0.748011467587287,0.826985568632108,0.29410924424999,0.710705582115871,0.672115777531138,0.695347893544428,-0.606838431805804,0.216141986489091,0.583373554623531,-1.11839384285275,0.773448995340454,0.823895264221857,0.195561547068183,0.746283548559559,-1.22066739154121,-0.2512308538081,-0.243236672541873,-0.995651979956764,-1.80023301195326,0.91632630736298,0.270750894837112,0.606745024837489,-0.151137090083658,-0.454207038664254,-0.0283324297971758,-0.575779416980841,0.223291972552788,-0.0478764990170092,0.623145692488662,0.101308468651611,-0.528351827654439
"Spain",1.16753279877676,1.09924620653471,0.847208659469119,0.32718006138339,0.950607853112215,0.942971709032328,0.735991375240531,-0.378912681402245,1.03694014343546,0.892142475020776,0.874605405197507,0.398482000546108,1.50366280518286,0.866329229073021,0.934497139617439,0.799092380987501,0.708024548371258,0.599979420388029,0.639293453564572,0.699195424503564,0.722687293832372,0.914468999268452,-0.489620426826629,-0.132867956542735,0.942362881985458,0.162390907114035,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,1.15983898940683,0.652021375488884,0.701371666692583,0.748011467587287,0.826985568632108,0.29410924424999,0.710705582115871,0.672115777531138,0.695347893544428,-0.463968544264542,-1.45151816719554,1.25901184841786,-0.674325699367097,0.171404625619079,-0.178082338109306,0.332224832532629,0.746283548559559,1.17323719114201,0.827348948683792,0.168948999738953,1.55600166685018,0.959609428145001,0.91632630736298,-0.392242609339794,0.677278799578519,0.575638506812306,0.79293771156641,0.645763061190762,1.11962997968447,0.223291972552788,0.379185756315301,0.72607478246542,-0.151428083378853,0.279492974142632
"Sri Lanka",-0.361002771563426,0.256604993754648,-0.362023083435443,-0.335664140939443,-0.580526355610015,-0.286450705047572,-1.69178107973403,1.4515692269343,-0.187663269174328,-1.25088563387983,-0.95529649295414,-0.128145798720185,-0.507150098683696,-0.518149297088767,-0.00306545744828539,0.520143442978521,-0.329344026433399,0.159698396671223,-0.76024086369841,-0.771839104971466,0.722687293832372,0.0211279453013252,-0.721541120625589,-0.41237311277054,-0.852351758033466,-0.682828265504558,-0.487387065540274,-0.52255606268216,-0.0111238177327628,0.274440947210204,0.276654106104222,-0.222658053603074,-0.531178309970577,-0.553476610775219,-0.309880144091458,-0.275602215928849,0.29410924424999,-1.92093565909033,-1.74750102158096,-2.03989351691988,1.22771207166713,0.751644598956524,0.245554407726366,0.879912802832676,-0.0234360435520873,-0.265561515876255,-0.179550357433901,-0.504547247545197,-0.0237151001996023,-0.454380633697903,-0.068827771579672,-0.211614946914805,0.14084044943761,0.2161097933315,-0.506623953582946,0.0928280755560441,0.126447514935882,-1.70135178889492,-1.26898190075386,0.0191971349597854,0.223291972552788,-1.68554384252211,-0.420051021886065,0.0363039158770097,0.161953161734858
"Sudan",-1.1918509447119,-1.77131471134537,-0.966638955069109,-0.564208439155612,-1.34609345997113,-1.236124306565,-2.25826131922809,2.41527937368228,-1.45453338728107,-1.94078471046052,-3.509659395793,-1.04329248537071,-1.07076042390547,-1.38150862672732,-1.03345452964269,0.139439568929198,-1.89450254130709,-2.27065285230127,0.639293453564572,-0.771839104971466,-2.35824274829511,0.0211279453013252,-0.152905937708257,-1.35604893772604,-1.74970907804293,-1.52804743812315,-1.26242112463011,-1.34543786608598,-0.0111238177327628,0.274440947210204,0.276654106104222,-1.35379199778107,-1.71437799543004,0.701371666692583,-3.48355497912769,-0.275602215928849,-1.62267169240272,-1.92093565909033,-1.74750102158096,-2.03989351691988,1.81689231648012,0.921774929031737,1.25901184841786,0.879912802832676,-0.9286007136654,-0.4671217003837,-1.54636606348918,-2.38079344188996,-0.821683294108153,-0.335257622723579,0.871615654864055,-1.30167200507726,-1.56538174173333,-2.74700153806093,-1.20818196690663,-2.7551436177285,-1.50693749776432,-0.454207038664254,-0.325472333854722,-2.42590862376186,-6.58026255794076,-0.811378784283422,-0.969119956539721,-1.21374735004266,-0.0707670728226259
"Suriname",-0.108567953208133,-0.597388587594684,0.847208659469119,1.20837938612647,0.295497936527022,0.514146226226924,0.978768620737987,0.510520258756161,0.00129800098886621,-1.60854622789875,0.158074122542834,-0.727670669518418,-0.315671513732291,-0.168391137127112,0.20362798049402,-0.323894923204087,0.70980956682031,-1.60142569661099,0.639293453564572,0.699195424503564,0.722687293832372,0.73083778257995,0.999825806939934,1.3891898254186,0.148583226620927,0.259950514709404,0.377105469087445,0.39530705259693,0.0998027267216895,0.274440947210204,0.276654106104222,0.908475890574926,0.759584983257926,-0.0410802309765127,0.122092263869644,0.17462112928653,1.11558678852972,0.710705582115871,0.672115777531138,0.695347893544428,-0.32109865672328,0.505342258235972,1.25901184841786,-0.674325699367097,-0.328055379689867,0.726163688646561,0.0172621906590503,-0.504547247545197,-0.422699197153878,-1.02220031910256,-1.69753369685262,1.20528686071412,0.870009547329322,0.741272177148332,0.793022730661419,-2.16373878280438,-5.33421962091878,0.79293771156641,0.00579166663319605,0.437295138387874,0.223291972552788,-0.239907643875633,-1.24698667450856,0.799002479266742,-1.21047889416279
