"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Brazil",-0.279446580062038,-1.37637768815702,0.847208659469119,-0.0188136560417291,-0.197742803429457,0.403081341202146,0.169511135746468,-1.10919219758674,-0.417174570964116,-0.193544644883503,-0.0151722341375979,-2.83919749492737
"Brunei Darussalam",0.647348853812167,-1.03235311512625,-0.0597151477999953,-4.40388412536241,-2.30305234042252,-1.93549633797118,-1.71875632912584,-1.21149070653107,0.0914777723707721,0.397209036552968,0.0310623247375279,1.38578999216468
"Bulgaria",-0.132492188998021,1.24673771665704,0.847208659469119,-0.180306607084266,0.950607853112215,0.70003195046147,0.735991375240531,0.440859728243811,-0.250093943939114,0.856621864878368,0.935809065932543,0.579278469345268
"Burkina Faso",-0.151373315196799,0.17801360033126,0.242592787835453,0.340327384265807,0.1850407487511,0.0301071621249037,0.978768620737987,-0.880381140481466,-0.996341413571323,-0.80235442849365,-0.350916909422381,0.399396741214278
"Burundi",-1.31567123751141,-0.873821889432375,-2.17587069797367,0.0147120178409022,-2.11166056433224,-2.77474277689537,-0.369993854355779,-0.300594976588615,-1.12174508574598,-0.470234275794946,-0.769066316431427,-0.723124558261475
"Cambodia",-1.5576703961896,1.06478897958983,0.847208659469119,0.490425988849692,0.1850407487511,0.125810703492525,0.43926363063574,1.15497621523656,-0.611163073555122,0.762995362237124,0.25922495144278,0.0438724778634786
"Cameroon",-1.27554632367226,-0.888201150190429,-1.57125482670277,0.265825887143269,-0.580526355610015,-0.427205812389197,-0.639746349245051,0.512914803678469,-1.31485731719726,-0.730359929576861,-1.66405601847279,-0.472362484768006
"Canada",1.61290891143525,1.18753105134607,0.847208659469119,0.92297291594096,1.14199962920249,1.12701698084557,0.735991375240531,-0.375217944113896,1.73679908736652,0.957082598834192,0.772145787257143,1.45544403078128
"Cape Verde",0.375877046038017,-0.258620232490177,0.847208659469119,0.393245359133771,0.371296743185487,0.771809606641783,0.978768620737987,-1.11287482924497,0.528589727728015,-0.083521390051859,0.154698660784419,-0.090862222389985
"Central Afr. Rep.",-1.75867292316448,-2.59554174757397,-0.966638955069109,0.500067358884581,0.567824300931658,0.192067001172143,0.43926363063574,0.479540432351166,-2.19147211628378,-1.22305463331108,-2.00375709813489,-1.55328045820051
"Chad",-1.3531406707685,-1.26843239429977,0.242592787835453,0.423155519253319,-0.197742803429457,-0.102405433234331,-1.71875632912584,1.01753604607664,-1.66484823302332,-1.0853349560321,-1.60770808388424,-2.0037975284338
"Chile",0.863593808196062,0.638018042854799,0.847208659469119,1.0781113273734,1.14199962920249,0.906162655040715,-0.639746349245051,1.1406007125023,0.786789926743033,0.779370531913641,1.05972456005527,0.0795788179458503
"China",-0.246864274852088,-0.380931392947635,-1.57125482670277,-2.23479495029596,-2.11166056433224,-1.55494627979274,0.735991375240531,-1.17963367680157,0.284390699063942,0.214677617542616,-0.262170101909231,-0.639412837095505
"Colombia",-0.419657285417972,-1.83876972375318,0.242592787835453,0.767396260254674,1.14199962920249,0.471815813734614,0.978768620737987,0.3068726631279,-0.910542132582658,-0.192181376501102,-0.175783712002198,0.0272916013746801
"Congo, Dem. R.",-1.53485164519898,-1.28204087973093,-2.17587069797367,0.630554539468763,-0.792107366508633,-0.609791424039386,-0.639746349245051,0.529322282649783,-1.68718399090242,-0.641838388222273,-1.27848838865725,-1.23121164854792
"Congo, Rep. Of",-0.977937871004507,-0.510002979143301,-0.362023083435443,1.12785203273213,0.567824300931658,-0.455772355016812,0.709016125848715,-0.530934996663948,-1.28529578559468,-1.88843699043895,-1.8094459437184,-1.4231468192854
"Costa Rica",0.931506443195697,0.239814428578122,0.847208659469119,0.379550231081951,0.950607853112215,1.17854965668118,-0.0328032355014116,0.919207037272956,0.44159132337403,1.10024524225558,0.835128534811361,-0.550957878673929
"Cote d'Ivoire",-0.658277133349208,-1.09616491379279,-0.362023083435443,1.18372815527822,0.950607853112215,0.59696659879024,0.978768620737987,-0.53909443717062,-0.424382448005732,-0.763091512791314,-1.30350210116165,-0.0716548907222098
"Croatia",0.363588805118449,1.25660921168745,0.847208659469119,0.359610124335585,0.759216077021937,0.567519355102235,0.978768620737987,-1.46963564163933,0.172861667536241,0.639741030828074,0.991563058510707,0.263473968973646
"Cyprus",0.748088772298928,1.13337751131276,0.847208659469119,-0.168254894540655,0.567824300931658,1.09020792623556,0.978768620737987,0.678161423940555,0.471607867916877,0.892720826272496,1.07200767811747,0.516135725439112
"Czech Rep.",1.64256239499719,1.29616775759959,0.847208659469119,0.189790535428075,0.950607853112215,1.13437879176757,0.735991375240531,-0.582616045081418,0.711424055637185,0.818952390721029,1.03091133255645,1.04192917474461
"Denmark",2.19458235002037,1.25496910671495,0.847208659469119,0.152978031120655,0.950607853112215,1.2374441434388,0.978768620737987,-1.91856480852964,1.86835101206113,1.16026759113126,1.22325063489125,1.2668128447826
"Dominican Rep.",-0.463111761244664,-0.183997865434203,-0.362023083435443,0.617297655670791,0.1850407487511,0.729479194149473,0.169511135746468,1.10213811879284,-0.772877224719595,0.881923730492031,0.785810362297249,-0.387058335050046
"Ecuador",-0.520325619176018,0.684373723274925,0.847208659469119,0.21301747319086,-0.197742803429457,0.155257946562137,0.978768620737987,-0.666853465905241,-0.916572433407132,0.00881330233229723,-0.439505375736383,-0.942396749064061
"Egypt",-0.908172552378518,-1.58912267738834,-2.17587069797367,-2.19513385922597,-1.34609345997113,-0.760195532317445,-2.25826131922809,-0.34028669516769,-0.829049814522021,-0.066428786265279,-1.18717152228883,-2.13441958618365
"El Salvador",-0.461268431949654,-1.10323102756665,0.847208659469119,0.973370987384647,0.376432524841379,-0.146576298766336,0.169511135746468,1.58875427059268,-1.06902718070551,1.12074368983703,0.5595128160386,-0.750542688776762
"Estonia",1.65138662242904,1.0554567056178,0.847208659469119,0.524170784563432,0.950607853112215,1.19327327852519,0.735991375240531,-0.489820836330337,1.4533638053623,0.775972215338086,1.20019792017159,1.15089801853291
"Ethiopia",-1.10661020054054,-0.963867461068295,-0.362023083435443,-1.11902547047328,-2.11166056433224,-1.50666654744632,-0.100241359142804,0.0716449948903897,-0.372023906379585,-1.79609496980543,-1.66260771692544,-0.360648731285702
