"uid","user","location","message","likes","n_of_message","time"
"37392003","铳天将军","广东","只要阿美莉卡那里的面包涨到50万之后，米国人会想起他们的传统手艺的",55,3,2025-06-19 00:42:55
"33722673","雾雨呦","北京","这是我见到过的，对孙笑川最恶毒的谩骂和诽谤。",31,0,2025-06-20 11:51:31
"411886383","泽拉图的消失","广东","啥呀，没啥好洗的，犹太人自己干的那些事可以被否认吗。联合国大会关于加沙停火，是两百多票对两票（美国和以色列），安理会也是14票对1票（美国），美国的盟友和大缺大德的带英都看不下去。洗白犹太人是不是在说，国际社会正在与国际社会逆行。说以色列不能代表犹太人的请问犹太人在哪个国家受欢迎。",17,3,2025-06-20 11:18:42
"38532558","啊啊嘁嘁嘁","山东","艺术家 ：艺术需要是时间印证……时间便是最好的艺术 历史会评价我们的",26,0,2025-06-20 07:05:39
"15793066","敷竹炒肉","广西","有点意思，视频和评论区好像说的是一回事",22,1,2025-06-20 02:29:02
"3546713482594981","韭菜一box","山东","在别的国家，我们也经常见到资本家煽动对犹太人的仇恨。来人民的注意力从他们真正的矛盾---资本上转移。对犹太人的仇恨，只有在地主和资本家奴役群众，蒙蔽群众的国家，才能得以维持。只有最受奴役最受剥削的底层人民才会相信，这是那些封建社会的残余”---《列宁选集》[笑哭]",11,3,2025-06-20 00:40:36
"4160054","ddd571","辽宁","艾公说:真理只在大炮射程之内，尊严只在剑锋之上。大家说艾公千古。内塔尼亚胡真这么做了了，网友却对其破口大骂[吃瓜]",6,8,2025-06-19 21:43:06
"4586864","刘康","北京","真正的艺术总是超前的[黑眼圈_金箍][捂眼][微笑]",84,1,2025-06-19 18:35:07
"1104706193","sasa06","浙江","犹豫好无辜哦，笑了",31,0,2025-06-19 17:03:24
"1931662360","历史长河向东流","黑龙江","想到马克思与爱恩斯坦，我细思极恐[doge_金箍]",3,2,2025-06-19 16:21:09
"872233","一兩儀一","山东","[doge]",1,0,2025-06-22 12:40:27
"17858498","决胜巅峰","吉林","真的不冤。",15,10,2025-06-19 16:55:50
